N,пол,возраст,факультет,соцсети,видео,игры,фото видео,списывание,чтение,частота покупок,экран,камера,автономность,производительность,бренд
1,0,19,1,2,2,0,1,2,3,2,6,15,1,1,1
2,1,19,1,8,1,3,2,1,3,4,6,15,1,1,0
3,1,19,1,10,12,5,2,1,3,2,6,15,1,1,0
4,0,19,1,8,1,10,1,1,10,2,0,0,0,1,0
5,1,19,1,2,1,0,3,1,0,4,6,20,1,0,0
6,1,20,1,10,2,3,2,1,3,2,6,0,1,1,1
7,0,19,0,10,12,0,2,0,7,4,6,7,1,1,1
8,1,20,1,10,8,0,2,2,7,2,6,15,1,0,1
9,0,19,1,10,10,0,2,1,3,4,7,0,1,1,1
10,0,19,0,8,2,0,2,1,0,2,5,20,1,1,0
11,1,19,1,10,0,5,2,2,3,4,4,15,1,1,1
12,1,19,1,8,8,0,3,1,7,2,6,20,1,1,1
13,1,19,1,10,8,3,1,3,7,2,6,0,1,2,1
14,0,20,0,10,8,0,3,0,10,2,0,20,1,2,1
15,1,19,1,10,10,0,1,1,7,4,6,15,1,2,1
16,0,19,0,1,1,0,2,1,0,5,5,15,1,0,1
17,0,20,1,10,10,5,2,2,7,4,6,15,1,0,1
18,0,19,1,2,8,3,1,2,10,2,0,0,1,2,1
19,0,18,0,10,10,3,2,1,0,2,5,15,1,1,1
20,1,19,1,10,2,3,2,0,3,4,0,15,1,1,0
21,1,21,1,10,10,5,3,2,0,2,6,20,0,2,1
22,0,19,0,10,8,3,1,1,0,4,6,15,1,2,1
23,0,19,0,10,10,0,2,1,3,2,5,20,1,2,1
24,1,21,1,8,2,3,1,1,3,4,0,15,1,1,1
25,0,19,1,8,1,3,2,1,10,4,5,0,1,0,0
26,1,19,0,10,10,3,1,1,7,2,6,15,1,2,1
27,0,19,1,10,1,5,2,2,0,2,0,20,1,1,1
28,1,19,1,8,1,3,2,1,3,2,5,15,1,0,1
29,0,19,0,8,12,0,2,1,7,4,6,0,1,1,1
30,0,21,1,8,8,0,1,2,3,2,6,20,1,1,1
31,0,19,1,2,8,0,2,0,10,4,0,15,1,0,0
32,0,19,1,8,10,10,2,2,0,2,5,0,1,1,1
33,1,19,1,10,8,0,2,1,0,2,6,0,0,0,1
34,1,20,0,10,2,5,2,1,3,2,7,20,1,2,1
35,1,20,1,10,2,3,2,2,10,4,6,20,1,1,1
36,0,19,1,2,12,0,1,0,10,2,0,0,0,1,0
37,1,19,1,10,1,0,1,1,7,2,0,15,1,0,0
38,0,20,1,10,10,5,2,1,0,4,6,20,0,0,0
39,0,30,0,10,8,5,2,2,0,4,6,15,1,1,0
40,1,20,0,2,2,0,1,1,3,4,6,20,1,0,0
41,1,19,1,2,2,0,1,1,7,4,6,15,1,1,1
42,1,20,0,10,10,10,3,2,0,2,6,20,0,2,1
43,0,20,0,2,8,0,1,1,3,4,5,0,1,0,0
44,0,20,0,8,8,0,2,1,3,4,5,20,0,1,1
45,1,19,0,8,10,0,2,1,0,2,6,15,1,1,0
